name,M,read_total,read_unique,read_entropy,read_local_entropy,read_footprint90,write_total,write_unique,write_entropy,write_local_entropy,write_footprint90
648.exchange2_s,10,16879418,88285,9.641026,3.669554,978,8407152,71400,9.187700,3.910982,3497
541.leela_r,10,299286080,139839,6.707117,2.090791,84,123010025,2115585,5.854221,0.704709,45
505.mcf_r,10,19607744,106583,6.780854,2.852165,114,13023294,433818,6.986912,2.278359,103
648.exchange2_s,10,17661636,88769,9.625176,3.598046,974,8815251,71567,9.165666,3.838277,3602
541.leela_r,10,299286300,139879,6.707129,2.090732,84,123010027,2115584,5.854221,0.704388,45
531.deepsjeng_r,10,553740,134910,11.901120,6.503096,79536,225273894,225084430,27.738258,22.736335,202557041
541.leela_r,10,299286300,139879,6.707129,2.090732,84,123010027,2115584,5.854221,0.704388,45
parsec_vips_simdev_n4,10,0,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0
520.omnetpp_r,10,0,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0
