2025-09-17T20:50:29Z,505.mcf_r,native,0.005,255
2025-09-17T20:50:29Z,505.mcf_r,drrun_memtrace_5s,0.414,255
2025-09-17T20:50:33Z,541.leela_r,native,3.618,0
2025-09-17T20:50:34Z,631.deepsjeng_s,native,5.519,0
2025-09-17T20:50:51Z,648.exchange2_s,native,22.138,0
2025-09-17T20:50:56Z,648.exchange2_s,drrun_memtrace_5s,5.301,124
2025-09-17T20:51:15Z,631.deepsjeng_s,drrun_memtrace_5s,40.424,124
2025-09-17T20:51:36Z,541.leela_r,drrun_memtrace_5s,63.546,124
2025-09-18T00:05:36Z,541.leela_r,native,3.659,0
2025-09-18T00:05:38Z,631.deepsjeng_s,native,5.684,0
2025-09-18T00:05:39Z,505.mcf_r,native,6.598,0
2025-09-18T00:05:42Z,541.leela_r,drrun_memtrace_5s,5.613,124
2025-09-18T00:05:44Z,505.mcf_r,drrun_memtrace_5s,5.479,124
2025-09-18T00:05:55Z,648.exchange2_s,native,22.249,0
2025-09-18T00:06:00Z,648.exchange2_s,drrun_memtrace_5s,5.416,124
2025-09-18T00:06:15Z,631.deepsjeng_s,drrun_memtrace_5s,36.858,124
2025-09-18T00:13:32Z,541.leela_r,native,3.571,0
2025-09-18T00:13:34Z,631.deepsjeng_s,native,5.653,0
2025-09-18T00:13:35Z,505.mcf_r,native,6.493,0
2025-09-18T00:13:40Z,505.mcf_r,drrun_memtrace_5s,5.553,124
2025-09-18T00:13:50Z,648.exchange2_s,native,22.122,0
2025-09-18T00:13:56Z,648.exchange2_s,drrun_memtrace_5s,5.397,124
2025-09-18T00:14:11Z,631.deepsjeng_s,drrun_memtrace_5s,37.304,124
2025-09-18T00:14:31Z,541.leela_r,drrun_memtrace_5s,59.729,124
